Sentence,Sentiment
"Maine yeh movie dekhi aur mujhe bahut achha laga, kahani bahut interesting thi, acting bhi bahut achha",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty",Neutral
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty",Neutral
"Maine yeh movie dekhi aur mujhe bahut achha laga, kahani bahut interesting thi, acting bhi bahut achha tha!",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting the!",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor thi.",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight hai.",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly tha!",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive tha!",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good hai.",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty hai.",Neutral
"Maine yeh movie dekhi aur mujhe bahut achha laga, kahani bahut interesting thi, acting bhi bahut achha tha!",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting the!",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor thi.",Negative
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight hai.",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly tha!",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive tha!",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good hai.",Positive
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty hai.",Neutral
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kesse theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki service bahut achhi thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut romantic thi, characters bhi bahut interesting the!",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Maine yeh new restaurant try kiya aur mujhe bahut achha laga, khana bhi bahut tasty tha!",Positive
"Yeh phone ki screen bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kuch theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki staff bahut friendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut interesting thi, characters bhi bahut relatable the!",Positive
"Yeh restaurant ki khana bahut oily thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut interesting thi, characters bhi bahut relatable the!",Positive
"Yeh restaurant ki khana bahut oily thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kuch theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki staff bahut friendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive tha!",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor thi.",Negative
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Yeh phone ki camera bahut achhi hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut good hai.",Positive
"Main kal office jaunga aur project mein kaam karoonga, hope sab kuch theek rahega, deadline bhi bahut tight hai.",Neutral
"Yeh hotel ki location bahut achhi thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut friendly tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut interesting thi, characters bhi bahut relatable the!",Positive
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kuch theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki staff bahut friendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut interesting thi, characters bhi bahut relatable the!",Positive
"Yeh restaurant ki khana bahut oily thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal park mein jaunga aur apne friends ke saath khelunga, hope sab kuch theek rahega, weather bhi bahut achha hai.",Neutral
"Yeh concert bahut amazing tha, lekin ticket bahut expensive thi, par phir bhi maine enjoy kiya tha, music bhi bahut energetic tha!",Positive
"Maine yeh game khela aur mujhe bahut achha laga, graphics bhi bahut impressive the, gameplay bhi bahut smooth tha!",Positive
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kuch theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki staff bahut friendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh movie dekhi aur mujhe bahut achha laga, story bhi bahut unique thi, acting bhi bahut impressive tha!",Positive
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor thi.",Negative
"Main kal park mein jaunga aur apne friends ke saath picnic manaunga, hope sab kuch theek rahega, food bhi bahut tasty hai.",Neutral
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Main kal office jaunga aur meeting mein participate karoonga, hope sab kuch theek rahega, project ki planning bhi karoonga.",Neutral
"Yeh hotel ki staff bahut friendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut clean tha!",Positive
"Maine yeh book padhi aur mujhe bahut achha laga, kahani bahut interesting thi, characters bhi bahut relatable the!",Positive
"Yeh restaurant ki khana bahut oily thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Yeh hotel ki staff bahut unfriendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut dirty tha!",Negative
"Maine yeh book padhi aur mujhe bahut boring laga, kahani bahut predictable thi, characters bhi bahut annoying the!",Negative
"Yeh restaurant ki khana bahut spicy thi, maine toh apni glass wapas kar di thi, service bhi bahut poor thi.",Negative
"Yeh phone ki screen bahut kharab hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut short hai.",Negative
"Yeh hotel ki location bahut bad thi, maine toh apne family ke saath stay kiya tha, staff bhi bahut unhelpful tha!",Negative
"Maine yeh movie dekhi aur mujhe bahut disappointing laga, story bhi bahut weak thi, acting bhi bahut poor tha!",Negative
"Yeh restaurant ki khana bahut kharab thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Yeh phone ki camera bahut average hai, maine toh apne friend ko gift kiya tha, battery life bhi bahut short hai.",Negative
"Yeh restaurant ki khana bahut oily thi, maine toh apni plate wapas kar di thi, service bhi bahut slow thi.",Negative
"Yeh phone ki battery bahut kharab hai, maine toh apne friend ko gift kiya tha, camera bhi bahut average hai.",Negative
"Yeh hotel ki staff bahut unfriendly thi, maine toh apne family ke saath stay kiya tha, room bhi bahut dirty tha!",Negative
"Maine yeh book padhi aur mujhe bahut boring laga, kahani bahut predictable thi, characters bhi bahut annoying the!",Negative
"Mujhe yeh Facebook page bahut disappointing laga, content bhi bahut boring tha, ads bhi bahut annoying the!",Negative
"Yeh Instagram influencer ki posts bahut fake lagti hain, maine toh unhe unfollow kar diya hai, fake followers bhi bahut hain!",Negative
"Mujhe yeh Twitter handle bahut unfriendly laga, tweets bhi bahut negative the, block kar diya hai!",Negative
"Yeh YouTube channel ki videos bahut kharab quality ki hain, maine toh unsubscribe kar diya hai, content bhi bahut boring tha!",Negative
"Mujhe yeh TikTok account bahut annoying laga, videos bhi bahut irritating the, report kar diya hai!",Negative
"Yeh blogger ki posts bahut unhelpful lagti hain, maine toh unke blog ko leave kar diya hai, content bhi bahut outdated tha!",Negative
"Mujhe yeh online community bahut toxic laga, members bhi bahut rude the, leave kar diya hai!",Negative
"Yeh social media platform ki customer service bahut poor hai, maine toh help center se contact kiya tha, response bhi bahut late aaya!",Negative
"Mujhe yeh online forum bahut unorganized laga, topics bhi bahut confusing the, avoid kar diya hai!",Negative
"Yeh Instagram influencer ki posts bahut fake lagti hain, maine toh unhe unfollow kar diya hai, fake followers bhi bahut hain!",Negative
"Mujhe yeh Twitter handle bahut unfriendly laga, tweets bhi bahut negative the, block kar diya hai!",Negative
"Yeh YouTube channel ki videos bahut kharab quality ki hain, maine toh unsubscribe kar diya hai, content bhi bahut boring tha!",Negative
"Mujhe yeh TikTok account bahut annoying laga, videos bhi bahut irritating the, report kar diya hai!",Negative
"Yeh blogger ki posts bahut unhelpful lagti hain, maine toh unke blog ko leave kar diya hai, content bhi bahut outdated tha!",Negative
"Mujhe yeh Facebook page bahut disappointing laga, content bhi bahut boring tha, ads bhi bahut annoying the!",Negative
"Yeh Instagram influencer ki posts bahut fake lagti hain, maine toh unhe unfollow kar diya hai, fake followers bhi bahut hain!",Negative
"Mujhe yeh Twitter handle bahut unfriendly laga, tweets bhi bahut negative the, block kar diya hai!",Negative
"Yeh YouTube channel ki videos bahut kharab quality ki hain, maine toh unsubscribe kar diya hai, content bhi bahut boring tha!",Negative
"Mujhe yeh TikTok account bahut annoying laga, videos bhi bahut irritating the, report kar diya hai!",Negative
"Yeh blogger ki posts bahut unhelpful lagti hain, maine toh unke blog ko leave kar diya hai, content bhi bahut outdated tha!",Negative
"Mujhe yeh online community bahut toxic laga, members bhi bahut rude the, leave kar diya hai!",Negative
"Yeh social media platform ki customer service bahut poor hai, maine toh help center se contact kiya tha, response bhi bahut late aaya!",Negative
"Mujhe yeh online forum bahut unorganized laga, topics bhi bahut confusing the, avoid kar diya hai!",Negative
"Yeh Instagram influencer ki photoshoots bahut fake lagti hain, maine toh unhe report kar diya hai, fake engagement bhi bahut hai!",Negative
"Mujhe yeh Twitter thread bahut annoying laga, tweets bhi bahut repetitive the, mute kar diya hai!",Negative
"Yeh YouTube video ki audio quality bahut kharab hai, maine toh video ko dislike kar diya hai, content bhi bahut boring tha!",Negative
"Mujhe yeh TikTok challenge bahut silly laga, videos bhi bahut irritating the, ignore kar diya hai!",Negative
"Yeh blogger ki writing style bahut boring lagti hai, maine toh unke blog ko unfollow kar diya hai, content bhi bahut outdated tha!",Negative
"Mujhe yeh online support team bahut unhelpful laga, responses bhi bahut generic the, disappointed hai!",Negative
"Yeh social media platform ki algorithm bahut confusing hai, maine toh platform ko leave kar diya hai, ads bhi bahut annoying the!",Negative
"Yeh Instagram influencer ki collaborations bahut fake lagti hain, maine toh unhe unfollow kar diya hai, fake partnerships bhi bahut hain!",Negative
"Mujhe yeh Twitter chat bahut toxic laga, tweets bhi bahut hurtful the, block kar diya hai!",Negative
"Yeh YouTube channel ki content quality bahut kharab hai, maine toh channel ko unsubscribe kar diya hai, videos bhi bahut boring the!",Negative
"Mujhe yeh TikTok account bahut annoying laga, videos bhi bahut irritating the, report kar diya hai!",Negative
"Yeh blogger ki expertise bahut doubtful lagti hai, maine toh unke blog ko avoid kar diya hai, content bhi bahut misleading tha!",Negative
"Mujhe yeh Facebook group bahut unproductive laga, discussions bhi bahut off-topic the, leave kar diya hai!",Negative
"Yeh Instagram influencer ki authenticity bahut questionable hai, maine toh unhe report kar diya hai, fake credentials bhi bahut hain!",Negative
"Mujhe yeh Twitter poll bahut misleading laga, options bhi bahut biased the, boycott kar diya hai!",Negative
"Yeh YouTube video ki production quality bahut poor hai, maine toh video ko dislike kar diya hai, content bhi bahut lacking tha!",Negative
"Mujhe yeh TikTok trend bahut overhyped laga, videos bhi bahut repetitive the, ignore kar diya hai!",Negative
"Yeh blogger ki opinions bahut close-minded lagti hain, maine toh unke blog ko unfollow kar diya hai, content bhi bahut divisive tha!",Negative
"Mujhe yeh online community bahut unwelcoming laga, members bhi bahut hostile the, avoid kar diya hai!",Negative
"Yeh social media platform ki moderation bahut poor hai, maine toh platform ko report kar diya hai, harassment bhi bahut common hai!",Negative
"Mujhe yeh Instagram story bahut attention-seeking laga, content bhi bahut self-promotional tha, mute kar diya hai!",Negative
"Yeh Twitter thread bahut disjointed laga, tweets bhi bahut hard to follow the, unfollow kar diya hai!",Negative
"Mujhe yeh YouTube channel bahut clickbait-y laga, video titles bhi bahut misleading the, unsubscribe kar diya hai!",Negative
"Yeh TikTok account bahut cringeworthy laga, videos bhi bahut awkward the, block kar diya hai!",Negative
"Yeh blogger ki writing bahut clichéd lagti hai, maine toh unke blog ko avoid kar diya hai, content bhi bahut unoriginal tha!",Negative
"Mujhe yeh online forum bahut stagnant laga, discussions bhi bahut same-old the, leave kar diya hai!",Negative
"Yeh social media platform ki user interface bahut cluttered hai, maine toh platform ko criticize kar diya hai, navigation bhi bahut confusing hai!",Negative
"Yeh Instagram influencer ki transparency bahut lacking hai, maine toh unhe call-out kar diya hai, fake disclosures bhi bahut hain!",Negative
"Mujhe yeh Twitter chat bahut toxic laga, tweets bhi bahut abusive the, report kar diya hai!",Negative
"Yeh YouTube video ki factual accuracy bahut questionable hai, maine toh video ko debunk kar diya hai, misinformation bhi bahut spread hai!",Negative
"Mujhe yeh TikTok challenge bahut problematic laga, videos bhi bahut insensitive the, condemn kar diya hai!",Negative
"Yeh blogger ki credentials bahut dubious lagte hain, maine toh unke blog ko distrust kar diya hai, content bhi bahut misleading tha!",Negative
"Maine yeh hotel mein stay kiya aur mujhe bahut achha laga, room bhi bahut clean tha, staff bhi bahut friendly tha!",Positive
"Yeh hotel ki location bahut offbeat thi, maine toh taxi mein jaana pada, aur staff bhi bahut unfriendly tha!",Negative
"Maine yeh hotel mein breakfast kiya aur mujhe thoda average laga, par staff bhi bahut helpful tha, room service bhi bahut prompt tha!",Neutral
"Yeh hotel ki amenities bahut impressive thi, maine toh gym aur pool ka use kiya, aur room bhi bahut spacious tha!",Positive
"Maine yeh hotel mein check-in kiya aur mujhe bahut disappointing laga, room bhi bahut small tha, aur staff bhi bahut slow tha!",Negative
"Yeh hotel ki staff bahut cooperative thi, maine toh unse help li aur unhone bahut promptly respond kiya!",Positive
"Maine yeh hotel mein dinner kiya aur mujhe thoda overpriced laga, par food bhi bahut delicious tha, aur ambiance bhi bahut nice thi!",Neutral
"Yeh hotel ki cleanliness bahut poor thi, maine toh room mein dust aur dirt dekha, aur bathroom bhi bahut unclean tha!",Negative
"Maine yeh hotel mein stay kiya aur mujhe bahut relaxed laga, room bhi bahut quiet tha, aur staff bhi bahut courteous tha!",Positive
"Yeh hotel ki Wi-Fi bahut slow thi, maine toh internet use karne mein bahut difficulty hui, aur staff bhi bahut unhelpful tha!",Negative
"Maine yeh hotel mein lunch kiya aur mujhe thoda average laga, par staff bhi bahut attentive tha, aur service bhi bahut prompt tha!",Neutral
"Yeh hotel ki location bahut central thi, maine toh nearby attractions easily visit kiye, aur staff bhi bahut knowledgeable tha!",Positive
"Maine yeh hotel mein check-out kiya aur mujhe bahut hassle-free laga, staff bhi bahut efficient tha, aur billing bhi bahut accurate tha!",Positive
"Yeh hotel ki amenities bahut limited thi, maine toh gym aur pool ka use nahi kiya, aur room bhi bahut basic tha!",Negative
"Maine yeh hotel mein stay kiya aur mujhe bahut comfortable laga, room bhi bahut cozy tha, aur staff bhi bahut friendly tha!",Positive
"Yeh hotel ki staff bahut apathetic thi, maine toh unse help mangi aur unhone bahut late respond kiya!",Negative
"Maine yeh hotel mein dinner kiya aur mujhe thoda underwhelmed laga, par food bhi bahut edible tha, aur ambiance bhi bahut decent thi!",Neutral
"Yeh hotel ki breakfast spread bahut impressive thi, maine toh bahut saari cheezein try ki, aur staff bhi bahut attentive tha!",Positive
"Maine yeh hotel mein stay kiya aur mujhe bahut disappointed laga, room bhi bahut small tha, aur bathroom bhi bahut unclean tha!",Negative
"Yeh hotel ki location bahut convenient thi, maine toh nearby market easily visit kiya, aur staff bhi bahut helpful tha!",Neutral
"Maine yeh hotel mein dinner kiya aur mujhe bahut impressed laga, food bhi bahut delicious tha, aur service bhi bahut prompt tha!",Positive
"Yeh hotel ki amenities bahut outdated thi, maine toh gym aur pool ka use nahi kiya, aur room bhi bahut basic tha!",Negative
"Maine yeh hotel mein stay kiya aur mujhe bahut relaxed laga, room bhi bahut quiet tha, aur staff bhi bahut courteous tha!",Positive
"Yeh hotel ki staff bahut uncooperative thi, maine toh unse help mangi aur unhone bahut late respond kiya!",Negative
"Maine yeh hotel mein lunch kiya aur mujhe thoda average laga, par staff bhi bahut attentive tha, aur ambiance bhi bahut nice thi!",Neutral
"Yeh hotel ki cleanliness bahut impressive thi, maine toh room mein bahut cleanliness dekha, aur bathroom bhi bahut clean tha!",Positive
"Yeh hotel ki Wi-Fi bahut fast thi, maine toh internet use karne mein bahut ease hui, aur staff bhi bahut helpful tha!",Positive
"Maine yeh hotel mein stay kiya aur mujhe bahut underwhelmed laga, room bhi bahut basic tha, aur amenities bhi bahut limited thi!",Negative
